Source	Target
19	54
19	1356
19	1668
19	29643
19	38100
19	39447
19	86056
19	88203
19	108717
19	264103
19	395203
19	566690
54	1668
54	20369
54	29643
54	39628
54	86056
54	88203
54	132245
78	4027
78	9017
78	9073
78	17623
78	20962
78	38369
78	39588
78	72740
78	103941
78	106496
581	8192
581	267188
832	16637
1057	4811
1057	4913
1057	9017
1057	9073
1057	41750
1057	62435
1057	73593
1057	80650
1057	81475
1057	83302
1057	88470
1057	93462
1057	113631
1057	119481
1057	133324
1057	297231
1057	331113
1057	350045
1057	485171
1057	704556
1057	726990
1057	810704
1057	1021405
1356	65679
1424	88470
1424	191931
1668	39628
1668	86056
1668	88203
1668	132245
1785	3514
1785	9017
1785	22638
1877	201964
2105	51309
2105	90276
2105	145591
2105	149992
2105	179626
2105	240141
2177	16637
2177	222145
2698	112266
2698	278332
2698	444848
2900	16624
2900	44337
2900	65679
2900	113631
3171	3849
3171	4597
3171	95285
3514	4811
3514	4913
3514	5995
3514	9017
3514	24641
3514	38100
3514	39447
3514	45550
3514	73593
3514	74165
3514	173385
3514	189040
3514	206776
3514	232307
3514	1641282
3566	8122
3566	50267
3566	132245
3566	501143
3687	45743
3849	52018
3869	9017
3869	13167
3869	17623
3869	44870
3869	133324
3869	167044
4027	9017
4027	12699
4027	57415
4284	90040
4284	813954
4317	54971
4597	1403661
4638	33481
4638	70622
4638	110209
4638	133077
4638	183756
4638	209894
4638	1564583
4811	4913
4811	6504
4811	7199
4811	9073
4811	15964
4811	25085
4811	39588
4811	52916
4811	54007
4811	62435
4811	70622
4811	73593
4811	74165
4811	81475
4811	87488
4811	93462
4811	98041
4811	109575
4811	113631
4811	120582
4811	127961
4811	141984
4811	160577
4811	185428
4811	197966
4811	219808
4811	222145
4811	297231
4811	334608
4811	350045
4811	463766
4811	485171
4811	552433
4811	745243
4811	1046810
4894	98228
4894	124450
4894	180957
4894	360991
4894	1115438
4913	25085
4913	103941
4913	160577
4913	197966
5009	8524
5009	12699
5009	31236
5009	45743
5009	60748
5009	103719
5009	109575
5009	267188
5009	676032
5009	730316
5602	30694
5602	415166
5686	53921
5966	62543
5966	94901
5966	99816
5966	397099
5995	8684
5995	22638
5995	29643
5995	30031
5995	42872
5995	51372
5995	73004
5995	73593
5995	83302
5995	88470
5995	93462
5995	132245
5995	141984
5995	169063
5995	295490
5995	1472735
6138	59666
6138	507153
6504	17792
6504	31236
6504	54007
6504	65771
6504	83981
6504	109151
6504	110475
6504	118174
6504	126601
6504	167234
6504	297231
6504	324029
6504	350493
6504	648351
6504	666315
6504	871111
6898	133077
6905	39588
6905	42872
6905	58240
6905	71270
6905	73593
6905	158706
7199	12699
7199	16637
7199	31236
7199	45743
7199	46425
7199	74165
7199	116289
7199	140477
7199	297231
8192	518417
8524	13167
8524	33481
8524	52393
8524	65679
8524	73593
8524	87048
8524	98676
8524	107684
8524	145591
8524	219808
8524	267188
8524	813954
8524	1115438
8554	20580
8554	37269
8554	39588
8554	68321
8554	124450
8554	127961
8554	204518
8554	338138
8554	839895
8554	1115438
8637	109338
8684	13367
8684	38369
8684	58975
8684	88203
8684	90038
8684	93462
8684	93831
8684	109232
8684	114902
8684	116771
8684	141984
8684	297231
9017	16637
9017	20962
9017	38100
9017	51372
9017	59253
9017	65679
9017	68042
9017	88203
9017	93462
9017	173385
9073	53584
9073	54007
9073	81475
9073	93462
9073	222145
9073	331113
9073	726990
9275	16637
9275	119492
9275	747349
9437	52916
9437	140928
9437	149992
9437	187591
9490	96606
9490	222145
9490	222171
9490	294411
9490	346289
9589	92096
9589	187101
9589	267188
9646	20962
9646	103941
9646	502694
9646	578062
9917	36866
9917	74165
10475	14241
10475	24641
10475	31236
10475	73928
10475	507153
10967	45550
10967	395203
12492	88470
12492	114066
12492	184103
12699	31236
12699	57415
12699	1234315
13167	25489
13167	46299
13167	195185
13167	317835
13258	57126
13258	132245
13258	648351
13259	41750
13259	107334
13367	42872
13367	46299
13367	51869
13367	87048
13367	109338
13367	172110
14241	25085
14241	28750
14241	73928
14241	107684
14241	294411
14241	1112347
15896	52731
15964	169621
15964	185428
16182	17478
16182	23599
16182	33075
16182	62435
16182	71270
16182	134316
16267	21406
16267	25085
16267	56457
16267	72861
16267	189135
16267	208576
16267	462410
16267	648351
16285	17040
16285	21898
16285	33481
16285	70190
16624	52916
16637	22199
16637	22468
16637	28750
16637	35694
16637	53584
16637	60748
16637	77944
16637	94941
16637	173385
17478	46425
17478	134316
17623	33481
17792	25085
17792	25679
17792	41750
17792	42610
17792	50107
17792	52393
17792	89621
17792	126601
17792	129041
17792	149915
17792	168975
17792	240096
17792	256310
17792	290003
17792	322075
17792	346289
17792	397099
17792	594832
17792	604338
17792	630749
17941	241076
18087	59253
18087	112266
18087	769656
18087	810704
18331	58500
18331	257262
18431	316587
18637	574863
19128	112266
19128	1115438
20369	137064
20369	173385
20580	80650
20644	87048
20948	187591
20962	24306
20962	50905
20962	52916
20962	84720
20962	105030
20962	112696
20962	135726
20962	299086
20962	942156
21391	52916
21391	68037
21391	83121
21391	83339
21391	109575
21391	143336
21391	161563
21391	169957
21406	56457
21406	58975
21406	76566
21406	95285
21406	173353
21406	208576
21406	895820
21742	119865
21896	58240
22168	201964
22199	88132
22199	100960
22515	891225
22638	52916
22638	58975
22638	141984
22638	930940
23599	41919
23599	73593
23599	356708
23826	120035
23841	52916
24306	50905
24306	52916
24306	100179
24306	105030
24306	105829
24306	179650
24306	219808
24306	506804
24641	53921
24641	139406
24641	141984
24641	173385
25085	28750
25085	31236
25085	37920
25085	50107
25085	53320
25085	58499
25085	73067
25085	114562
25085	146036
25085	167234
25085	184103
25085	190744
25085	197966
25085	209894
25085	224367
25085	272009
25085	331113
25085	377114
25085	423487
25085	507153
25085	666315
25085	813954
25085	871111
25085	1766208
25489	203995
25489	388244
25679	30822
25679	33858
25679	48247
25679	76065
25679	157563
25679	187591
25679	229371
25679	267188
25827	334608
25964	57415
25964	179174
25964	482412
25964	648351
25964	1021405
28750	36413
28750	51869
28750	54971
28750	70190
28750	76065
28750	98676
29643	108866
29643	132245
29643	156006
29643	264103
29643	566690
30031	35694
30031	73593
30031	88203
30031	141984
30031	156006
30031	232307
30031	312928
30031	395203
30071	52916
30259	132923
30259	782184
30694	363383
30724	45174
30724	52916
30724	84314
30724	118174
30724	813954
30724	1115438
30822	52393
30822	142175
30822	240096
30962	94941
30962	194606
31102	100179
31102	266670
31123	33075
31123	42610
31123	52916
31123	70622
31123	140421
31123	142350
31123	297231
31123	422384
31123	493134
31236	31415
31236	47439
31236	50107
31236	52386
31236	53320
31236	117299
31236	167234
31236	233376
31236	251267
31236	263715
31236	265064
31236	361903
31236	734137
31763	210890
31976	61894
31976	208216
31976	1443204
31982	483461
32085	32430
32085	52916
32430	61889
32627	120035
33075	39789
33075	42610
33075	65381
33075	65679
33075	73593
33075	87488
33075	177907
33075	197966
33075	468002
33481	42610
33481	42872
33481	61851
33481	73067
33481	107517
33481	110209
33481	112377
33481	116821
33481	119865
33481	127961
33481	183756
33481	209894
33481	257164
33481	350045
33481	392722
33481	501143
33481	1009722
33481	1012859
33799	78439
33799	100179
33858	39588
33858	73593
33858	83302
33858	141984
34062	113631
34379	169063
34573	78604
34573	335251
35694	135593
35694	188666
35694	211769
35694	212278
35694	324029
35694	477279
35694	909816
35694	1472735
35846	74584
35846	173086
36413	39588
36413	58500
36413	78604
36413	935297
36733	161563
36733	297231
36733	350045
36843	587022
36866	144766
36866	415166
37269	101106
37269	118790
37269	169957
37269	194546
37269	237066
38100	67271
38100	207011
38100	675147
