flow,origin,destination
121606,36001,36001
5,36001,36005
29,36001,36007
11,36001,36017
30,36001,36019
728,36001,36021
38,36001,36023
6,36001,36025
183,36001,36027
31,36001,36029
10,36001,36031
32,36001,36033
105,36001,36035
1296,36001,36039
3,36001,36043
58,36001,36047
48,36001,36055
293,36001,36057
38,36001,36059
213,36001,36061
101,36001,36065
34,36001,36067
108,36001,36071
6,36001,36075
31,36001,36077
66,36001,36081
11457,36001,36083
3,36001,36087
41,36001,36089
5096,36001,36091
8774,36001,36093
401,36001,36095
15,36001,36103
31,36001,36105
248,36001,36111
232,36001,36113
75,36001,36115
80,36001,36119
25,36001,36121
13827,36003,36003
4,36003,36005
9,36003,36007
2291,36003,36009
61,36003,36013
54,36003,36015
1,36003,36023
280,36003,36029
73,36003,36037
5,36003,36039
3,36003,36047
447,36003,36051
160,36003,36055
3,36003,36061
14,36003,36063
88,36003,36067
57,36003,36069
4,36003,36071
1205,36003,36101
8,36003,36103
9,36003,36105
9,36003,36109
6,36003,36111
3,36003,36117
525,36003,36121
94,36005,36001
6,36005,36003
238666,36005,36005
72,36005,36007
7,36005,36009
8,36005,36011
7,36005,36017
33,36005,36021
146,36005,36027
44,36005,36029
15,36005,36035
34,36005,36039
21945,36005,36047
14,36005,36053
4,36005,36055
24,36005,36057
2971,36005,36059
204163,36005,36061
12,36005,36065
184,36005,36071
21,36005,36075
95,36005,36077
181,36005,36079
25193,36005,36081
4,36005,36083
981,36005,36085
1233,36005,36087
29,36005,36089
25,36005,36101
1249,36005,36103
100,36005,36105
76,36005,36109
108,36005,36111
12,36005,36115
2,36005,36117
36824,36005,36119
61,36007,36001
50,36007,36005
76697,36007,36007
11,36007,36009
148,36007,36011
25,36007,36013
157,36007,36015
1219,36007,36017
7,36007,36019
666,36007,36023
830,36007,36025
24,36007,36027
46,36007,36029
17,36007,36031
15,36007,36039
8,36007,36043
8,36007,36045
136,36007,36047
4,36007,36051
5,36007,36053
94,36007,36055
41,36007,36059
108,36007,36061
11,36007,36063
22,36007,36065
442,36007,36067
64,36007,36071
9,36007,36075
